rank,name,origin,frequency
749,Cauter,flemish,882
750,Ceyssens,flemish,882
751,Elst,flemish,880
752,Beule,flemish,880
753,Vleminckx,flemish,879
754,Hout,flemish,879
755,Geyter,flemish,879
756,Dingenen,flemish,877
757,Schellekens,flemish,875
758,Schrijvers,flemish,874
759,Panis,flemish,873
760,Coucke,flemish,873
761,Brosens,flemish,872
762,Abbeele,flemish,872
763,Buyle,flemish,872
764,Daenen,flemish,871
765,Reniers,flemish,870
766,Muylaert,flemish,870
767,Verdoodt,flemish,869
768,Herreweghe,flemish,868
769,Geyskens,flemish,866
770,Haeck,flemish,865
771,Colson,flemish,863
772,Moortgat,flemish,862
773,Minne,flemish,862
774,Spiessens,flemish,861
775,Geurts,flemish,861
776,Cappelle,flemish,861
777,Crombez,flemish,861
778,Degrande,flemish,859
779,Vangheluwe,flemish,858
780,Vekemans,flemish,857
781,Aerschot,flemish,857
782,Vertommen,flemish,857
783,Abeele,flemish,856
784,Craene,flemish,856
785,Clarysse,flemish,856
786,Rogge,flemish,852
787,Coussement,flemish,851
788,Kindt,flemish,847
789,Ibrahim,flemish,846
790,Mangelschots,flemish,846
791,Boever,flemish,845
792,Berckmans,flemish,841
793,Dewit,flemish,841
794,Frederickx,flemish,839
795,Herdt,flemish,837
796,Walravens,flemish,837
797,Rooy,flemish,835
798,Keyzer,flemish,835
799,Vandoorne,flemish,833
800,Vermote,flemish,832
801,Sas,flemish,831
802,Rouck,flemish,831
803,Cardon,flemish,831
804,Persyn,flemish,831
805,Cuvelier,flemish,831
806,Goeman,flemish,830
807,Vandormael,flemish,830
808,Vandewiele,flemish,829
809,Gielis,flemish,826
810,Wens,flemish,825
811,Wijnants,flemish,825
812,Köse,flemish,824
813,Poels,flemish,824
814,Tavernier,flemish,824
815,Calster,flemish,823
816,Bellemans,flemish,822
817,Reyniers,flemish,820
818,Lemaire,flemish,820
819,Peteghem,flemish,819
820,Braet,flemish,815
821,Vliegen,flemish,815
822,Menten,flemish,813
823,Gompel,flemish,811
824,Scheerlinck,flemish,810
825,Ruyck,flemish,809
826,Vanhooren,flemish,808
827,Kennes,flemish,806
828,Dom,flemish,804
829,Nulens,flemish,803
830,Daniëls,flemish,802
831,Verheye,flemish,802
832,Wilms,flemish,801
833,Daneels,flemish,800
834,Baerdemaeker,flemish,800
835,Vanwynsberghe,flemish,800
836,Doninck,flemish,799
837,Peuter,flemish,798
838,Apers,flemish,797
839,Roelens,flemish,797
840,Rasschaert,flemish,795
841,Mortelmans,flemish,794
842,Heyrman,flemish,794
843,Vets,flemish,794
844,Visscher,flemish,794
845,Clement,flemish,792
846,Geenen,flemish,792
847,Geirnaert,flemish,792
848,Debusschere,flemish,791
849,Perre,flemish,790
850,Roggeman,flemish,787
851,Symons,flemish,786
852,Dreesen,flemish,786
853,Bonne,flemish,786
854,Beelen,flemish,786
855,Raymaekers,flemish,783
856,Stuer,flemish,782
857,Putte,flemish,781
858,Saerens,flemish,781
859,Borre,flemish,781
860,Mols,flemish,780
861,Sneyers,flemish,778
862,Vandorpe,flemish,778
863,Persoons,flemish,777
864,Geldof,flemish,777
865,Logghe,flemish,776
866,Daemen,flemish,775
867,Strubbe,flemish,775
868,Stessens,flemish,774
869,Steurs,flemish,773
870,Oosterlinck,flemish,772
871,Bruynseels,flemish,771
872,Jorissen,flemish,771
873,Verleyen,flemish,771
874,Gils,flemish,769
875,Vreese,flemish,769
876,Platteau,flemish,768
877,Ahmad,flemish,767
878,Himpe,flemish,767
879,Rens,flemish,766
880,Impens,flemish,766
881,Li,flemish,765
882,Coolen,flemish,764
883,Meulemeester,flemish,764
884,Vanspauwen,flemish,764
885,Den Bossche,flemish,763
886,Verhasselt,flemish,762
887,Lenaers,flemish,762
888,Becker,flemish,761
889,Thoelen,flemish,761
890,Geers,flemish,760
891,Geboers,flemish,760
892,Ketels,flemish,759
893,Henderickx,flemish,758
894,Verbrugge,flemish,757
895,Everaerts,flemish,756
896,Ameye,flemish,756
897,Hassan,flemish,752
898,Denolf,flemish,752
899,Noten,flemish,751
900,Kesteloot,flemish,750
901,Messiaen,flemish,750
902,Lefever,flemish,749
903,Leyssens,flemish,748
904,Mehmed,flemish,748
905,Buyens,flemish,747
906,Geraerts,flemish,747
907,Heyden,flemish,746
908,Dhaenens,flemish,745
909,Vandevenne,flemish,745
910,Anthonissen,flemish,744
911,Robberechts,flemish,744
912,Delvaux,flemish,743
913,Bourgeois,flemish,743
914,Muylle,flemish,742
915,Jonckers,flemish,740
916,Belleghem,flemish,740
917,Decoene,flemish,739
918,Langhe,flemish,738
919,Vincke,flemish,738
920,Knapen,flemish,738
921,Schockaert,flemish,738
922,Vanoppen,flemish,738
923,Biesemans,flemish,737
924,Neefs,flemish,736
925,Lefevere,flemish,736
926,Buyck,flemish,735
927,Roosbroeck,flemish,734
928,Mieghem,flemish,733
929,Vangenechten,flemish,732
930,Cloet,flemish,732
931,Nollet,flemish,731
